gene,entrez_id,mut_n,amp_n,gain_n,shallow_del_n,deep_del_n,any_cna_n,any_alter_n,N,mut_freq,amp_freq,deep_del_freq,any_cna_freq,any_alter_freq
SF3B1,23451,21,5,108,214,0,327,344,1052,0.019961977186311788,0.004752851711026616,0.0,0.3108365019011407,0.3269961977186312
SF3A1,10291,4,3,120,456,0,579,581,1052,0.0038022813688212928,0.0028517110266159697,0.0,0.5503802281368821,0.5522813688212928
U2AF1,7307,2,8,224,175,1,408,409,1052,0.0019011406844106464,0.0076045627376425855,0.0009505703422053232,0.38783269961977185,0.3887832699619772
U2AF2,11338,2,22,250,153,1,426,426,1052,0.0019011406844106464,0.02091254752851711,0.0009505703422053232,0.4049429657794677,0.4049429657794677
SRSF2,6427,3,41,347,160,2,550,551,1052,0.0028517110266159697,0.03897338403041825,0.0019011406844106464,0.5228136882129277,0.5237642585551331
ZRSR2,8233,0,7,173,191,2,373,373,1052,0.0,0.006653992395437262,0.0019011406844106464,0.35456273764258556,0.35456273764258556
RBM10,8241,8,13,167,179,1,360,366,1052,0.0076045627376425855,0.012357414448669201,0.0009505703422053232,0.34220532319391633,0.34790874524714827
PRPF8,10594,11,2,71,606,3,682,688,1052,0.010456273764258554,0.0019011406844106464,0.0028517110266159697,0.6482889733840305,0.6539923954372624
LUC7L2,51631,0,6,285,144,2,437,437,1052,0.0,0.005703422053231939,0.0019011406844106464,0.41539923954372626,0.41539923954372626
DDX3X,1654,8,3,153,199,3,358,362,1052,0.0076045627376425855,0.0028517110266159697,0.0028517110266159697,0.3403041825095057,0.344106463878327
SUGP1,57794,9,8,208,196,2,414,419,1052,0.008555133079847909,0.0076045627376425855,0.0019011406844106464,0.3935361216730038,0.3982889733840304
PHF5A,84844,0,1,116,478,1,596,596,1052,0.0,0.0009505703422053232,0.0009505703422053232,0.5665399239543726,0.5665399239543726
RBM39,9584,6,23,437,58,0,518,521,1052,0.005703422053231939,0.021863117870722433,0.0,0.4923954372623574,0.49524714828897337
HNRNPK,3190,8,2,130,285,1,418,423,1052,0.0076045627376425855,0.0019011406844106464,0.0009505703422053232,0.3973384030418251,0.40209125475285173
FUBP1,8880,4,13,139,317,0,469,472,1052,0.0038022813688212928,0.012357414448669201,0.0,0.4458174904942966,0.44866920152091255
