rank,geneSymbol,mean_any_alter_freq,mean_mut_freq,mean_any_cna_freq,mean_amp_freq,mean_deep_del_freq,max_any_alter_freq,n_studies
1,PRPF8,0.4588608738372621,0.02200310748099686,0.44423793964765185,0.003903003895586787,0.006265184861365991,0.8392857142857143,32
2,LUC7L2,0.416613234639372,0.0,0.416613234639372,0.009255726238935585,0.0017565118061567335,0.8552631578947368,32
3,PHF5A,0.4069882782473436,0.0016976028212983816,0.4056723524731992,0.004926115025886375,0.00112428053552975,0.8747553816046967,32
4,SF3A1,0.3987970143540623,0.007004833458260228,0.3943512402329924,0.006223377748946354,0.0014069489075573577,0.8395303326810176,32
5,RBM39,0.3846182694536267,0.007748350980740266,0.3797816788690204,0.013738255150824615,0.00041407095835982856,0.8214285714285714,32
6,U2AF1,0.38120583054685886,0.007191360939321713,0.3771639854873908,0.004530151968233296,0.0022990756191234966,0.8657718120805369,32
7,SRSF2,0.3658604487210922,0.005332508583880861,0.3622511409707306,0.012000367785943683,0.0007486581684750236,0.7384615384615385,32
8,DDX3X,0.36518027774336614,0.015833945097326836,0.3539941192706972,0.0037947951657972697,0.0062769513535650785,0.7377690802348337,32
9,ZRSR2,0.3627944965805556,0.0038900042958934754,0.3595189690416183,0.0036196542644062807,0.007107751359465721,0.7514677103718199,32
10,RBM10,0.36005294219166917,0.013454890310817931,0.35052690136387615,0.008585483588744353,0.004607495350458452,0.7384615384615385,32
11,HNRNPK,0.3596805422704139,0.007530211960061732,0.35513975067850995,0.0025385361800451187,0.0012411230114539901,0.7857142857142857,32
12,U2AF2,0.35628546187251653,0.006248777246986423,0.3517118177092999,0.01014512566163891,0.0018306894227320383,0.7321428571428571,32
13,FUBP1,0.3459884468459819,0.011896356135846048,0.3396840183078525,0.0036286858772971806,0.0019320125507082853,0.8153846153846154,32
14,SUGP1,0.331904056410275,0.0077148350086868505,0.32622385071422466,0.008895409463445757,0.0011412149144172277,0.7678571428571429,32
15,SF3B1,0.2844602596241949,0.026652311340166674,0.2613225959600407,0.004513248031211236,0.0007875755513236922,0.7230769230769231,32
